term|english
བ་|female cow; a cow; 1) common appended particle as the second part of a word. 2) indicator of the person, agent. 3) cow
འབའ་|Ba, valley in Domey
བབ་|1) to bring down, come arrive, encounter, rain, - down, shower, go down, flow down, alight, descend, land, fall, receive. 2) nature, [Syn {gshis, rang bzhin}. [ {ye bab, rang bab}. 3) transmission, {bka' babs}. 4) [about time], {dus la bab tshe} when the time comes. {dus la bab pa} the appropriate time. {thog tu bab} to encounter, {gnas bab pa} to rain. {char pa bab pa} to rain. {kha ba bab pa} to snow. {gangs bab pa} to snow
འབའ་བ་|{'ba' ba, 'ba' ba, 'ba' ba} intr. v.; 1) to bleat. 2) to bring, carry
འབབ་ཆུ་|mountain stream, cascading waterfall
བབ་ཅོལ་|rgyal po bab col tho cho ha cang goms pa ma yin nam - Your Majesty! Do not talk so rashly and do not talk nonsense!
བབ་ཅོལ་གཏམ་|ill-considered talk
བ་བེའུ་སྐྱེས་པ་ཞིག་གིས་བརྡུངས་ནས་|was kicked by a cow who has just given birth to a calf
བ་བླ་|arsenic, orpiment yellow
བ་བླ་མའི་རྣལ་འབྱོར་སྒོམ་པ་|training in guru yoga
འབའ་བོ་|1) hole, cave, cavern. 2) see {'ba' re 'bo re}
བབ་པ་|to alight (from horse)
འབབ་པ་|{'bab pa, bab pa, 'bab pa, bob} intr. v.; ft. of {'bab pa}; intr. {'bab pa, bab pa, 'bab pa} intr. v.; go down, flows, to move downward, to descend; descent, calamity; cascade; to alight (from horse)
འབབ་ས་སྣ་ལེན་དང་|receive me, see {sna len}
བབས་བརྡལ་བ་|babs mi brdal - you won't go wrong
བབས་འབྲེལ་|progression, order; order, system, systematic sequence
བབས་བྱུང་བ་|landed
བབས་|flow; 1) {bab}. 2) state nature, nature, state. 3) to rain, to go down. 4) alighted. 5) order, system. 6) sunk, settled, settlement, colony, shape, form, appearance
བབས་དང་འབྲེལ་|properly linked together; x {gong 'og gi babs dang 'brel ma nor bar tshig don thams cad yang dag par 'dzin dgos pa yin} to remember both words and meaning perfectly, in the right order and with everything properly linked together, is therefore indispensable
བབས་དང་བསྟུན་|in accordance with
བབས་དང་འགལ་|mix up the proper sequence; x {gong 'og nor nas bzung na bstan pa'i babs dang 'gal te nyan 'chad sgom pa gang gi dus su yang 'gal ba 'du} if you remember it out of order, you will mix up the proper sequence of the teaching, and every time you listen to it, explain it, or meditate on it the confusion will be multiplied
འབབ་|See {pha 'bab} a fall of snow, to fall, drop down; fall [like rain] {grong yul du mi 'bab} I shall not go down to the village. happen
བ་བཤད་|subcommentary
བབས་ཀྱི་བཞུགས་པ་|to remain at ease (in the nature)
བབས་ཀྱིས་|naturally, spontaneously, by nature, by itself
བབས་ལུགས་ཆེན་པོ་གསུམ་|three great descents. three lineages of the Conqueror's intention, the symbols of the awareness-holders, and the aural lineage of mundane individuals. Syn {brgyud pa gsum}
བབས་ལུགས་|history of transmission
བབས་མི་བརྡལ་|you won't go wrong
བབས་པ་|to bring down
བབས་པའི་ལྷ་|the destined deity [upon which one's flower fell]
བབས་ས་|the [master, chief] receiver [of a teaching]
བབས་སོ་ཆེན་པོ་གསུམ་|the three main transmissions. in {snga 'gyur snying ma} 1) {ring brgyud bka' ma}. 2) {nye brgyud gter ma} 3) {zab mo dag snang} Kongtrül. 1) {rgya che ba bka' ma}. 2) {zab mo gter ma} 3) {nye brgyud dag snang} in {snga 'gyur snying ma, bka' ma, gter ma, dag snang}
བབས་ཚུགས་| station, landing/ descending place
འབབ་ཚུགས་|station, stop
བ་བུ་|a soft shoe
བ་བྱུང་|cow-nectar, cow essence, ingredients of a cow
བ་བྱུང་ལྔ་|five cow essences, five [pure] ingredients from a cow; collected under special circumstances: 1) urines, dung, milk, butter and curd. 2) mucus, saliva, milk, urine, and manure
བ་བྱུང་རིལ་བུ་|cow essence pill; made of {ba byung lnga}
བ་བྱུང་སྣ་ལྔ་|Cow nectar. Five essences from a special cow. Syn {ba'i rnam lnga}
འབའ་ཆ་|lees, musical instrument
བ་ཆུ་|cow urine
བ་དམ་|peanut, ground nut; almond, peanut
བ་དན་|standard, flag, pendant, banner
བ་དན་གཡོ་བ་|to wave the flag
བ་ད་རའི་གླིང་དུ་བགྲོད་པའི་རྟོགས་བརྗོད་|Travels to the Island of Badara
བ་ད་རའི་གླིང་|the island of Badara
བ་ད་རའི་གླིང་ཞེས་བྱ་བ་|the land called Badara
འབད་འབད་པ་|striving
འབད་བཅས་སུ་གྲོལ་བ་|to liberate with effort
འབད་བརྩོན་བྱེད་པ་|to strive, fight, struggle
འབད་བརྩོན་|effort
འབད་འབུངས་ཐོན་|exerting themselves
འབད་འབུངས་|to exert oneself, strenuously apply oneself
བད་ཀན་ལྔ་|the five phlegms, {'byor byed}, {myong byed}, {myag byed}, {tshim byed}, {rten byed}
བད་ཀན་|phlegm; bile
བ་དཀར་|lime, lime-stone
འབད་མེད་དུ་|effortlessly, without effort
འབད་མེད་|effortless(ly); effortless, -ness
འབད་མེད་ཀྱི་ངང་|the effortless state
འབད་མེད་ལྷུན་གྲུབ་|effortlessly and spontaneously present
འབད་མེད་ལྷུན་གྲུབ་ཏུ་མཛད་པ་གསུམ་|the threefold effortless and spontaneous action [of a buddha]
འབད་མེད་ལྷུན་གྱིས་གྲུབ་པ་|effortlessly and spontaneously present
བད་|moisture, humidity, hoarfrost
བད་པ་|{bad pa, bad pa, bad pa} intr. v
འབད་པ་བྱེད་|MG: = 'bad rtsol byed. va. to endeavor, to make an effort, to struggle, to try hard, to strive for [mss]
འབད་པ་ཆེན་པོས་|with unremitting perseverance
འབད་པ་དང་བཅས་པ་|deliberate, effortful
འབད་པ་|ft. of {'bad pa}; {'bad pa, 'bad pa, 'bad pa, 'bod} trans. v.; concentrate, diligent, exertion, perseverance, effort, apply one self, put effort into, persevere in, be diligent, exert one self, recite, earnestly, exert [yourself], exert [yourself] in reciting, diligent; to strive, make effort; effort, endeavor, exert one's self, apply one's self, effort, trouble, struggle, strain, endeavor, striving, pains; pf. of {'bad pa} , be diligent in
འབད་པ་མཛོད་|work hard at
འབད་པ་མེད་པར་|effortlessly
འབད་པར་འཚལ་|to exert oneself
འབད་པས་ཆགས་བྲལ་བསྐྱེད་པ་|has cultivated freedom from attachment
འབད་པས་སྒྲུབ་པ་|to strive to achieve
འབད་རྩལ་|exertion
འབད་རྩོལ་|isc. concerted effort/ struggle; to make effort/ try to develop; isc. exertion
འབད་རྩོལ་བྱེད་པ་|to make/ be involved in effort and striving
འབད་རྩོལ་མེད་པ་བྱུང་|came to him effortlessly
འབད་རྩོལ་མེད་པ་|neither effort nor toil
འབད་རྩོལ་མེད་པར་སངས་རྒྱ་བ་|enlightenment attained effortlessly
འབད་རྩོལ་མི་དགོས་པར་|without your having to make any effort
འབད་རྩོལ་མི་དགོས་|there is no need for effort
འབད་|to study hard
བ་ཛིར་|bajira
བ་ཛྲ་དུང་སྒྲུབ་|100 million Vajra Guru recitations
བ་ཛྲ་གུ་རུའི་ཕན་ཡོན་|text revealed by karma gling pa - 14th cent. on the _Vajra Guru_ formula invoking the blessings of padma sambhava; a syllable by syllable commentary and an explanation of the benefits to be derived from its recital
བ་ཛྲ་གུ་རུ་སྔགས་|Vajra Guru Mantra
བ་ཛྲ་ཧེ་རུ་ཀ་|vajra heruka
བ་ཛྲ་མུ་|dissolve
བ་ཛྲ་ས་མའ་ཛ་|VajrasamAjah
བག་|1) feeling, frame of mind. 2) a narrow space, 3) slight, insignificant, trifling, 4) attention, care, caution. {zon bag} careful. 5) dough of roasted barley flour
བ་གམ་|1) multi-storied mansion. 2) dome; a dome
བག་བརྐྱང་|openhandedness, largess
འབག་བཟླས་|recitation mixed with ordinary talk
བག་ཅན་|conscientious
བག་ཆག་གྱི་སྒྲིབ་པ་|Obscuration of habitual tendencies. The propensity for apprehending attributes occurring in the mind of even highly developed bodhisattvas
བག་ཆགས་བཏབ་པ་|sowing / planting habitual tendencies
བག་ཆགས་བཞག་པ་|ex {rnam dkar gyi bag chags bzhag pa} pure seeds were sown
བག་ཆགས་བཞི་|the four types of habitual tendencies: {mngon brjod kyi bag chags, bdag lta'i bag chags, srid pa'i yan lag gi bag chags, rigs mthun pa'i bag chags,}
བག་ཆགས་གསུམ་|the three tendencies, {yul don sems su bag chags pa}, {gnas don lus kyi snang ba bag chags pa}, {lus ngag yid kyi bag chags}
བག་ཆགས་གཞན་དབང་|the dependency of habitual tendencies
བག་ཆགས་|trace, propensity, latency [ggd]
བག་ཆགས་ཀུན་གཞི་|the all-ground of tendencies, [Syn {bag chags sna tshogs pa'i kun gzhi}
བག་ཆགས་ཀུན་སྤངས་པའི་ཡེ་ཤེས་|the wisdom pf having relinquished all habitual tendencies
བག་ཆགས་ཀྱི་ལུས་|the body of habitual tendencies
བག་ཆགས་ཀྱི་ཉོན་མོངས་པ་|the habitual tendencies of disturbing emotions
བག་ཆགས་ཀྱི་རྟེན་|support for the tendencies
བག་ཆགས་ཀྱི་ས་བོན་|the seed of habitual patterns
བག་ཆགས་ཀྱི་སྒྲིབ་པ་|the obscuration of habitual tendencies; obscuration of habit
བག་ཆགས་ཀྱི་སྲིད་པ་མ་ཟད་པ་|our emotional habits do not diminish
བག་ཆགས་ལྷག་མ་|residual, remaining tendencies
བག་ཆགས་ལུས་ཀྱི་ཀུན་གཞི་|all-ground of bodily tendencies
བག་ཆགས་ངན་གོམས་|bad habits
བག་ཆགས་ངན་པ་|unwholesome tendencies
བག་ཆགས་རང་གྲོལ་|one of the sections within the {kar gling zhi khro,}
བག་ཆགས་སད་པ་|to awaken the experience [of something from a past life]
བག་ཆགས་སྣ་ཚོགས་པའི་ཀུན་གཞི་|all-ground of various tendencies; all-ground for manifold tendencies; all ground of various propensities, ground of all experience as a multiplicity of habitual patterns
བག་ཆགས་ཡང་དག་བཅོམ་པ་|perfectly overcoming habitual tendencies; one of the categories of {zag med ye shes sde tshan nyer gcig,}
བག་ཆགས་ཡིད་ཀྱི་ལུས་|a mental body of unconscious tendencies, mental body of habitual patterns
བག་ཆས་|LKh: wedding clothes/dress for either the bride or groom. The term bag chas covers both the woman's wedding clothes {bag ma'i chas} and the man's wedding clothes {mag pa'i chas}. [mss]
འབག་|mask
འབག་འདྲ་|image, replica, likeness, copy, facsimile. Comp. {'dra 'bag}
བག་དྲོ་བ་|cheerful/ joyful; pleasing. Syn {bag dro le ba}; a good atmosphere
བག་དྲོ་|happy, jolly, splendidly, suffused with warmth, convey a cheerful warmth
བག་དྲོ་ལ་བྱིན་ཆགས་པ་|resplendent and suffused with warmth
བག་དྲོ་ལེ་བ་|suffered with wrath, splendidly, dignified, splendid
བག་གྲིབ་|defilement from meeting a bride
བག་གྲོ་|cheerful. Syn {bag dro ba}; warmth
བག་ཁུམས་|depressed
བག་འཁུམས་པ་|timidity, shying away
བ་གླང་|ox, bull. Syn {ba lang}
བ་གླང་རྫི་|a cowboy/ cattle herdsman
བ་གླང་རྫི་མོ་|a maiden who herded cattle
བ་གླང་སྤྱོད་|the continent of the Bountiful Cow
བག་ལ་ཉལ་བ་|(to be) latent; instinct, latencies. Dormant, potential
བག་ལ་ཉལ་བདུན་|the seven latent tendencies
བག་ལ་ཉལ་|Predispositions, anushaya. Unwholesome tendencies, much the same as defilements
བག་ལ་ཞ་|dormancy, [Syn. {bag la nyal}
བག་ལེབ་|bread
བག་མ་|bride, wife
བག་མར་བཏང་|to give away as bride; to give away the bride
བག་མར་ལེན་པ་|to marry, take as bride
བག་མེད་|heedlessly {'bangs gzhan zhig dang bag med spyad cing} - heedlessly left the task to another servant
བག་མེད་དུ་|unrestrained/ careless
བག་མེད་ཀྱི་སྤྱོད་པ་ལ་གཟེངས་བསྟོད་|praising, approving careless behavior
བག་མེད་ཀྱིས་|with abandon, lack of inhibition
བག་མེད་པ་|heedlessness
བག་མེད་པར་|without restraint
བག་མི་ཕེབ་|anxiety, fearful
བག་ཉལ་བདུན་|the seven types of latency:
བག་ཉལ་|latency
