a mdo|county in 21th cent Tibet.
a mdo dge 'dun chos 'phel|1905? 1951?
a mdo'i chos 'byung deb ther rgya mtsho|a religious history of Amdo, by Könchok Rabgye
a mdo'i chos 'byung deb ther rgya mtsho|Ocean Annals, a religious history of Amdo, by Könchok Rabgye
a mdo zhva dmar|(1852-1910), alias {dge 'dun bstan 'dzin rgya mtsho}; author of {byang chub bde lam gyi khrid dmigs skyong tshul shin tu gsal bar bkod pa dge legs 'od snang 'gyed pa'i nyin byed}
a mes|CM: 1) spo bo'am mes po. 2) jo bo rje'i slob ma gtsang pa yin pa de'i min cha tshang la a mes byang chub 'byang gnas zer. [mss]
a mes skye ri|The name of a mountain in the area where HHDL 14 was born. [mss]
am gtsigs|biting one's lower lip
am hrag|MSS: acc. to BTsering: a small pouch formed by gathering the cloth of a chuba above the belt. Used for carrying small things, even babies. See HHDL 14, NYNMM, 7. [mss]
a mi de ba|Syn {'od dpag med}
a mo li ka'i rdo leb|name of large flat rock in Heaven of the Thirty three, where the gods go for picnic
'a mo nyid|the Bönpo term for emptiness, {stong pa nyid}
am phrag g.yon du|into the left side of my garment
am phrag|the fold in the garment [like a big pocket]
a mra|1) mango. 2) Syn {mi sha}
a mra|{shing thog a mra} mangos
am ra|the mango tree and fruit
a mri ta|guava
am Rit|Skt. Syn {sman}, {bcud}
a myes|Amdo dialect for father-in-law
a myes|Amnye, in Domey:
a myes ge tho|Amnye Getho, in Domey
a myes ja sgron|Amnye Jadrön
a myes rma chen|Amnye Machen
a na|from that (?)
a nan|little one [usually this name is given to a little cute child]
'an bu|I, me
a ne|nun (H.); [paternal] aunt, father's sister, aunt, grand-aunt
a ne|paternal aunt
a nes|Amdo dialect for father-in-law's aunt
ang|Ang; An exclamation of deep-felt sadness
ang|Ang! exclamation of dismay; Ang! exclamation of dismay, under-garment
'ang|even. Syn {kyang yang} [used after vowel finals]
ang ga|1) number. Syn {ang gi}. 2) the root of a plant. 3) makes a verb imperative
ang 'ga' rag|shorts
'ang ge|Oh my!
ang gi|Oh!, figure, number, cipher; Oh!
ang gir|Angiras, the sixth year of {rab byung} Syn {chu pho sprel}
ang grangs|number
'ang gu mdog|bluish-grey
ang khug|pocket
ang rag|shorts
ang yig|1) the count of something; 2) prefix or suffix letters etc consonant, where the origial is not written but a number substituted)/ [one two three four five six 7 8 ka kha ga nga ca cha ja nya 9 10 11 12 13 14 15 16 ta tha da na pa pha ba ma 17 18 19 20 21 22 23 24 tsa tsa dza wa zha za ' ya 25 26 27 28 29 30 ra la sha sa ha a (28(1324i:spyi, (18o.3.28:Tsogs, (25i.4: Ring, (26u.3.28:Lugs]
ang yig bdun bcu pa|Seventy Admonitions, by Karak Gomchung
ang yig bdun cu pa|the Seventy Admonitions; by Karak Gomchung Rinpoche; [ending with the interjection ex {ang}!--please!]
ang yig|request, exhortation, admonition
a nI|nun (H.)
'a ni 'on ni|to (listen) carelessly
a nu'i dkyil 'khor gsum|three mandalas of Anu [Yoga]. For the three mandalas of Anu [Yoga], the view is to establish distinctly that all ground phenomena are three mandalas: 1) the unconstructed basis space of nonarising is the pure expansive sky of the consort Samantabhadri, also called 'the primordial mandala of isness.' 2) This doesn't obstruct the subject, the great bliss that is luminously present as self-existing awareness, which is wisdom Samantabhadra, also called 'the natural mandala of spontaneous presence.' 3) This basic space and wisdom as nondual is the Child of Great Bliss, also called 'the fundamental mandala of awakened mind.' 
a nu yo ga|Anu Yoga
a nu yo ga'i bsgom|meditation of Anu Yoga
a nu yo ga'i dbang brgyad brgya so gcig|Eight Hundred And Thirty One Empowerments of Anu Yoga
a nu yo ga'i rgyud rnams|Anu Yoga tantra
a nu yo ga'i sde snod rnams|Anu Yoga pitakas
a par skyur gsum|three main ingredients for medicine
a pha|dad, father
a pho bla brang|monastery in Manali, Himachal Pradesh, founded by the late Apho Rinpoche
a phyi chos kyi sgrol ma|protective deity
a phyir|Apache
a po|older brother; building, older brother
A rA|a saw
a rag|liquor, arrack, brandy, wine, alcoholic drink; wine, liquor, alcoholic drink, moonshine
a ra|moustache, beard; beard, moustache
'ar ba|lot
a re dga'|{a re dga' dangs re spro} what great joy! how delightful!; with great joy and enthusiasm
a re|how ...!
a re 'khrul|How foolish of me! extremely confused
ar ghaM|water
ar gtad|aim, target, to direct the eyes / attention
a rig|1) Arik, on the south-west banks of the Machu River, in Domey. 2) Arik, on the north-eastern banks of Lake Kokonor
a rig dge bshes 'jam dpal dge legs rgyal mtshan|or rgyal mtshan 'od zer, 1726-1803 - Arik Geshe, a preeminent master from Domey, who gave monastic ordination to Shabkar
A rig dge shes bya bral nga dbang bsod rnam|Arik Geshe Chadral Ngawang Sönam; founded Ganden Chökhor Ling Monastery (dga' ldan chos 'khor gling.)
a rigs can|'A' family [clan name]
a' ri 'u ri|hurried, careless
'a ri 'u ri|hurried, careless
'a ri 'ur ri|scatter-brain, careless
ar ka|marble, plaster-floor
ar la gtad pa|directed, aimed
ar la gtad pa|to push to the breaking point/ reduce to misery
ar la gtad|strained, pushed to the breaking point, reduced to nothing
ar las|brick-laying
ar las rgyag pa|to construct, build
a rog|companion, mate, fellow, comrade, friend
a ro'i theg chen rnal 'byor|Aro's Yogas of the Greater Vehicle, by Aro Yeshe Jungney
a ro ye shes 'byung gnas|Aro Yeshe Jungney
ar pa|a thief, bandit
'ar po|angry, vexed
ar po|brick
'ar sgra 'ur sgra|noisy
a rtsis|Oh my!
a ru ra|myrobalan, arura juice
'ar 'ur|hurly-burly
a ru|yellow myrobalan, terminabli chebula
Ar ya de ba|Aryadeva
A rya de ba|Aryadeva; {'phags pa'i lha}
A rya de ba'i snying po kun btus|name of text
a rya|exalted
'ar yang|also, too, likewise; [prob. {lar yang}
A rya pa' lo'i gling|Aryapalo; temple at Samye
a rya pa lo'i gling|Exalted Palo Temple. A temple at Samye
a rya tA ra|{'phags ma sgrol ma}
a sam|Assam. var. {a tsa ra} a district in Tibet
a shad|asheh
a shad|Asheh, visualized in tummo practice
a shad|the A stroke
a sha war tha|medicinal herb
a shom|maise
a shva ra|The preta-fire, or 'flesh-eater's fire,' refers to ashvara which is a type of Tirthika (non-Buddhist). Among the four types of fire-pit mentioned in the Immaculate Light, the ashvara-fire should be identified as the Tirthika's offering-fire. In Tibet, it means charnel ground fire which means charcoal from a funeral pyre. Jamdrak Rinpoche said that the ingredients for showering down the resplendence of wisdom are vital, while the fire itself is of minor importance. 
a shwar tha|medicinal herb
a slog rgyag pa|to turn over, turn oneself over
a stong rgyag pa|to yawn
a su ra'i brag phug|Asura Cave
a su ra'i brag phug|Asura Cave. The cave where Guru Rinpoche subdued the evil forces of Nepal through the practice of Vajra Kilaya. Situated near Pharping in the Kathmandu valley
a su ra'i brag phug|Asura Cave. The cave where Guru Rinpoche subdued the evil forces of Nepal through the practice of Vajra Kilaya. Situated near Pharping in the Kathmandu Valley
a su ra|Skt. - Asura
a thang chad pa|very weary
a 'thas bzung ba|grasped as solid and real, fantasies, solidifying
a 'thas ched 'dzin|possessiveness and attachment [to the notions of.]
a 'thas|solidified, clinging, grasping, substance, fixation, attachment, fixated on solidity; personal phenomena which one takes for real/ to fixate (?)
a ti|Ati Yoga. Syn Dzogchen; ati
a ti bkod pa|Ati Köpa. A Dzogchen tantra
a ti bkod pa chen po|Great Ati Array; tantra
a ti bkod pa chen po'i rgyud|the Great Display of Perfection Tantra; n. of a Dzogchen tantra
a ti bkod pa|the Array of Ati
a ti rdo rje snying po|Ati Yoga, the Vajra Essence
a ti rdo rje snying po'i theg pa|The vehicle of Ati Yoga, the Vajra Essence
a ti rdzogs pa chen po|the Great Perfection of Ati. Syn Dzogchen
a ti sha|(982-1054)
a ti sha|= Atisha [means perfcted. In east india, born as son of the king of Sahor in the water horse year, named dpal mar me mdzad ye shes, in Maghadha made master of the gtzug lag gnas chen 'ga'i assembly, invited by lha bla ma ye shes 'od and byang chub 'od he came to Tibet. the stages of practice of the path brought together/embodying from all the sutras and tantras mdo sngags thams cad bsdus nas lam nyams su len pa'i rim par dril ba the lamp of the path to enlightenment byang chub lam gyi sgron ma was the chief text he prodced of more than 20 by which he promulgated the later spreading of the teaching and established the Kadampa tradition and composed an 8 limb medical text. Remaining in mnga' ris three eyears, and in U and Tsang for nine, at 73 in the wood horse year he died. Spreading the Buddha's teachings and the sciences in Tibet by his great kindness [h] called jo bo rje by TTs]
a ti sha|Syn {phul byung}; Atisha 982-1054
'a ti wa|to perform somersaults, to tumble over, to roll
a ti yo ga|Ati Yoga, atiyoga, primordial yoga. Syn Dzogchen
a ti yo ga'i bsgom|meditation of Ati Yoga
a ti yo ga'i don rnams sgro 'dogs bcad|removed all misconceptions about each and every aspect of Atiyoga
a ti yo ga'i rgyud rnams|Atiyoga tantra
a ti yo ga'i theg pa|the vehicle of Ati Yoga. Syn Dzogchen
a ti yo ga lhag pa'i rnal 'byor|Ati Yoga
a ti zab don snying po|revealed by Minling Terchen Terdag Lingpa
a tsa ma|Alas!
a tsa ma|Alas! (stronger than Oh no! or Oh dear!)
a tsa ma|AR las! O my god!! Oy veh! [> Oh no! or Oh dear!]
a tsa ma|AR phangs po byed pa'i tsig gam, snying rje'i nyams, a tsa ma, de mi legs pa zhig byas song ???
a tsa ma na|Atsamana
a tsa ma na|Atsamana. An exclamation of deep sadness
a tsam re|Alas!. Skt. for {slob dpon}; Alas!
a tsa ra|a mendicant
a tsa ra|Atsara. An Indian wandering mendicant
a tsa ra|atsara, sadhu, yogin, mendicant; slang for Acharya 'teacher'/ saddhu. Syn {a sam} Assam
a tsa ra|slang for Acharya 'teacher'/ saddhu
a tsA ra sngags yig|x
a tsa rya sa le|8th cent. - Atsara Sale, a disciple of Yeshe Tsogyal
A tsa rya|Skt. for {slob dpon}
A tsar ya|Skt. for {slob dpon}
a tsar ya|Skt. for {slob dpon} spiritual guide or father, instructor, professor, doctor
A tsa rya|slob dpon, master
a tsa rya|spiritual guide or father, instructor, professor, doctor
a tsar ye shes|Atsara Yeshe. Same as Atsara Yeshe Yang of Ba. See under Yeshe Yang
a u|hornless
'a 'ur|busyness, activity, shaking or rattling sounds
a wa dhU ti|1) name of Maitripa, Avadhutipa; 2) central channel, see {dbu ma}
a wa dhu ti pa btsun pa bsod nams|author of Kalachakra instructions
a wa dhu ti|see {a wa dhU ti}
a wa glang mgo se|one of the {thub pa drug} the one in the hell realm. Syn Dharmaraja, the Dharma King, sage of the hell beings, the buddha of the hell realm
A war ta|dizziness
a war the'u|Awartheu, in Domey
a zhang|[maternal) uncle, mother's brother
ba|1) 15th consonant; 2) noun making particle; 3) prefix/ suffix letter; 4) common 2nd part of a word [R]; 5) male personifying/ agent particle [R] (6) cow [R] (7) intermediate state (8) past tense [ng ' r l]
ba|1) 15th consonant; 2) noun making particle; 3) prefix/suffix letter; 4) common second part of a word ['chi ba, rgyal ba]; 5) male personifying/agent particle [shing bzo ba, lha sa ba] (6) cow [R] (7) intermediate state)
'ba'|a district in Tibet
bab|1) to bring down, come arrive, encounter, rain, - down, shower, go down, flow down, alight, descend, land, fall, receive. 2) nature, [Syn {gshis, rang bzhin}. [ {ye bab, rang bab}. 3) transmission, {bka' babs}. 4) [about time], {dus la bab tshe} when the time comes. {dus la bab pa} the appropriate time. {thog tu bab} to encounter, {gnas bab pa} to rain. {char pa bab pa} to rain. {kha ba bab pa} to snow. {gangs bab pa} to snow
'ba' ba|{'ba' ba, 'ba' ba, 'ba' ba} intr. v.; 1) to bleat. 2) to bring, carry
'ba'|Ba, valley in Domey
'bab chu|mountain stream, cascading waterfall
bab col|frivolous, silly, rash/ inconsiderate; talking without thinking, the talk of a madman, babble, like {ca co}
bab col gtam|ill-considered talk
bab col|{ma brtags pa'i bab col ku re dang rtsed mo bzhad sogs} unconsidered or insincere words, laughing and joking, playing the fool
bab col|rgyal po bab col tho cho ha cang goms pa ma yin nam - Your Majesty! Do not talk so rashly and do not talk nonsense!
ba be'u skyes pa zhig gis brdungs nas|was kicked by a cow who has just given birth to a calf
ba bla|arsenic, orpiment yellow
ba bla ma'i rnal 'byor sgom pa|training in guru yoga
'ba' bo|1) hole, cave, cavern. 2) see {'ba' re 'bo re}
bab pa|1) {dus la bab pa'i tshe} the time arrived. 2)exude; pf. of {'bab pa}
'bab pa|{'bab pa, bab pa, 'bab pa, bob} intr. v.; ft. of {'bab pa}; intr. {'bab pa, bab pa, 'bab pa} intr. v.; go down, flows, to move downward, to descend; descent, calamity; cascade; to alight (from horse)
bab pa|to alight (from horse)
'bab sa sna len dang|receive me, see {sna len}
babs brdal ba|babs mi brdal - you won't go wrong
babs 'brel|progression, order; order, system, systematic sequence
babs byung ba|landed
babs|came down x {nam mkha' las babs te khrus byas} came down from the sky to bathe [in the waters of the lake]
babs dang 'brel|properly linked together; x {gong 'og gi babs dang 'brel ma nor bar tshig don thams cad yang dag par 'dzin dgos pa yin} to remember both words and meaning perfectly, in the right order and with everything properly linked together, is therefore indispensable
babs dang bstun|in accordance with
babs dang 'gal|mix up the proper sequence; x {gong 'og nor nas bzung na bstan pa'i babs dang 'gal te nyan 'chad sgom pa gang gi dus su yang 'gal ba 'du} if you remember it out of order, you will mix up the proper sequence of the teaching, and every time you listen to it, explain it, or meditate on it the confusion will be multiplied
'bab|See {pha 'bab} a fall of snow, to fall, drop down; fall [like rain] {grong yul du mi 'bab} I shall not go down to the village. happen
babs|flow; 1) {bab}. 2) state nature, nature, state. 3) to rain, to go down. 4) alighted. 5) order, system. 6) sunk, settled, settlement, colony, shape, form, appearance
ba bshad|subcommentary
babs kyi bzhugs pa|to remain at ease (in the nature)
babs kyis|naturally, spontaneously, by nature, by itself
babs lugs chen po gsum|three great descents. three lineages of the Conqueror's intention, the symbols of the awareness-holders, and the aural lineage of mundane individuals. Syn {brgyud pa gsum}
babs lugs|history of transmission
babs mi brdal|you won't go wrong
babs pa|alighted
babs pa|descended, landed
babs pa|fallen; to be transmitted
babs pa|grong du babs pa - to race down to the village [from retreat]
babs pa'i lha|the destined deity [upon which one's flower fell]
babs pa|landed on
babs pa|to alight
babs pa|to bring down
babs sa|the [master, chief] receiver [of a teaching]
babs so chen po gsum|the three main transmissions. in {snga 'gyur snying ma} 1) {ring brgyud bka' ma}. 2) {nye brgyud gter ma} 3) {zab mo dag snang} Kongtrül. 1) {rgya che ba bka' ma}. 2) {zab mo gter ma} 3) {nye brgyud dag snang} in {snga 'gyur snying ma, bka' ma, gter ma, dag snang}
babs tshugs| station, landing/ descending place
'bab tshugs|station, stop
ba bu|a soft shoe
ba byung|cow-nectar, cow essence, ingredients of a cow
ba byung lnga|five cow essences, five [pure] ingredients from a cow; collected under special circumstances: 1) urines, dung, milk, butter and curd. 2) mucus, saliva, milk, urine, and manure
ba byung ril bu|cow essence pill; made of {ba byung lnga}
ba byung sna lnga|Cow nectar. Five essences from a special cow. Syn {ba'i rnam lnga}
'ba' cha|lees, musical instrument
ba chu|cow urine
ba dam|peanut, ground nut; almond, peanut
ba dan|a banner; 1) standard, pennant, flag, banner, silk ensign
ba dan g.yo ba|to wave the flag
ba dan|standard, flag, pendant, banner
ba da ra'i gling du bgrod pa'i rtogs brjod|Travels to the Island of Badara
ba da ra'i gling|the island of Badara
ba da ra'i gling zhes bya ba|the land called Badara
'bad 'bad pa|striving
'bad bcas su grol ba|to liberate with effort
'bad brtson byed pa|to strive, fight, struggle
'bad brtson|effort
'bad 'bungs thon|exerting themselves
'bad 'bungs|to exert oneself, strenuously apply oneself
bad kan lnga|the five phlegms, {'byor byed}, {myong byed}, {myag byed}, {tshim byed}, {rten byed}
bad kan|phlegm; bile
ba dkar|lime, lime-stone
'bad med du|effortlessly, without effort
'bad med|effortless(ly); effortless, -ness
'bad med kyi ngang|the effortless state
'bad med lhun grub|effortlessly and spontaneously present
'bad med lhun grub tu mdzad pa gsum|the threefold effortless and spontaneous action [of a buddha]
'bad med lhun gyis grub pa|effortlessly and spontaneously present
bad|moisture, humidity, hoarfrost
bad pa|{bad pa, bad pa, bad pa} intr. v
'bad pa byed|MG: = 'bad rtsol byed. va. to endeavor, to make an effort, to struggle, to try hard, to strive for [mss]
'bad pa chen pos|with strong endeavor
'bad pa chen pos|with unremitting perseverance
'bad pa dang bcas pa|deliberate, effortful
'bad pa|effort, endeavor, to fall
'bad pa|ft. of {'bad pa}; {'bad pa, 'bad pa, 'bad pa, 'bod} trans. v.; concentrate, diligent, exertion, perseverance, effort, apply one self, put effort into, persevere in, be diligent, exert one self, recite, earnestly, exert [yourself], exert [yourself] in reciting, diligent; to strive, make effort; effort, endeavor, exert one's self, apply one's self, effort, trouble, struggle, strain, endeavor, striving, pains; pf. of {'bad pa} , be diligent in
'bad pa mdzod|work hard at
'bad pa med par|effortlessly
'bad par 'tshal|to exert oneself
'bad pas chags bral bskyed pa|has cultivated freedom from attachment
'bad pas sgrub pa|to strive to achieve
'bad rtsal|exertion
'bad rtsol|{'bad rtsol byed pa} to exert (oneself); (to make/ be involved in) concerted effort
'bad rtsol byed pa|to make/ be involved in effort and striving
'bad rtsol|effort and striving
'bad rtsol|effort, exertion, perseverance
'bad rtsol|isc. concerted effort/ struggle; to make effort/ try to develop; isc. exertion
'bad rtsol med pa byung|came to him effortlessly
'bad rtsol med pa|neither effort nor toil
'bad rtsol med par sangs rgya ba|enlightenment attained effortlessly
'bad rtsol mi dgos par|without your having to make any effort
'bad rtsol mi dgos|there is no need for effort
'bad|to study hard
ba dzir|bajira
ba dzra dung sgrub|100 million Vajra Guru recitations
ba dzra gu ru'i phan yon|text revealed by karma gling pa - 14th cent. on the "Vajra Guru" formula invoking the blessings of padma sambhava; a syllable by syllable commentary and an explanation of the benefits to be derived from its recital
ba dzra gu ru sngags|Vajra Guru Mantra
ba dzra he ru ka|vajra heruka
ba dzra mu|dissolve
ba dzra sa ma' dza|VajrasamAjah
ba|female cow; a cow; 1) common appended particle as the second part of a word. 2) indicator of the person, agent. 3) cow
bag|1) feeling, frame of mind. 2) a narrow space, 3) slight, insignificant, trifling, 4) attention, care, caution. {zon bag} careful. 5) dough of roasted barley flour
ba gam|1) multi-storied mansion. 2) dome; a dome
bag brkyang|openhandedness, largess
'bag bzlas|recitation mixed with ordinary talk
bag can|conscientious
bag chag gyi sgrib pa|Obscuration of habitual tendencies. The propensity for apprehending attributes occurring in the mind of even highly developed bodhisattvas
bag chags btab pa|sowing / planting habitual tendencies
bag chags bzhag pa|ex {rnam dkar gyi bag chags bzhag pa} pure seeds were sown
bag chags bzhi|the four types of habitual tendencies: {mngon brjod kyi bag chags, bdag lta'i bag chags, srid pa'i yan lag gi bag chags, rigs mthun pa'i bag chags,}
bag chags gsum|the three tendencies, {yul don sems su bag chags pa}, {gnas don lus kyi snang ba bag chags pa}, {lus ngag yid kyi bag chags}
bag chags gzhan dbang|the dependency of habitual tendencies
bag chags|Habitual tendencies. Subtle inclinations imprinted in the all-ground consciousness
bag chags|habitual tendency, karmic traces, karmic residues, unconscious propensities, [vasana]; disposition, habit energy, thought, habit formation, habit thought dormant, potential tendency, habitual pattern, habitual propensity, habitual sleep, habitual tendency, impression, imprint, inclination, inherent tendency, inveterate tendency, karmic impression, karmic imprint, karmic propensities, habitual tendencies, imprints, predispositions; karmic traces, latency, latent predisposition, latent tendency, latent, dormant, mental imprint, negative psychic imprint, potency, potential tendency, potentiality, predisposition, propensity, propensities, sediment of impressions. Syn {nus pa} habitual patterning
bag chags kun gzhi|the all-ground of tendencies, [Syn {bag chags sna tshogs pa'i kun gzhi}
bag chags kun spangs pa'i ye shes|the wisdom pf having relinquished all habitual tendencies
bag chags kyi lus|the body of habitual tendencies
bag chags kyi nyon mongs pa|the habitual tendencies of disturbing emotions
bag chags kyi rten|support for the tendencies
bag chags kyi sa bon|the seed of habitual patterns
bag chags kyi sgrib pa|the obscuration of habitual tendencies; obscuration of habit
bag chags kyi srid pa ma zad pa|our emotional habits do not diminish
bag chags lhag ma|residual, remaining tendencies
bag chags lus kyi kun gzhi|all-ground of bodily tendencies
bag chags ngan goms|bad habits
bag chags ngan pa|unwholesome tendencies
bag chags rang grol|one of the sections within the {kar gling zhi khro,}
bag chags sad pa|to awaken the experience [of something from a past life]
bag chags sna tshogs pa'i kun gzhi|all-ground for manifold tendencies
bag chags sna tshogs pa'i kun gzhi|all-ground of various tendencies; all-ground for manifold tendencies; all ground of various propensities, ground of all experience as a multiplicity of habitual patterns
bag chags|trace, propensity, latency [ggd]
bag chags yang dag bcom pa|perfectly overcoming habitual tendencies; one of the categories of {zag med ye shes sde tshan nyer gcig,}
bag chags yid kyi lus|a mental body of unconscious tendencies, mental body of habitual patterns
bag chas|LKh: wedding clothes/dress for either the bride or groom. The term bag chas covers both the woman's wedding clothes {bag ma'i chas} and the man's wedding clothes {mag pa'i chas}. [mss]
'bag|{'dra 'bag} - likeness; mask
'bag 'dra|image, replica, likeness, copy, facsimile. Comp. {'dra 'bag}
bag dro ba|cheerful/ joyful; pleasing. Syn {bag dro le ba}; a good atmosphere
bag dro|happy, jolly, splendidly, suffused with warmth, convey a cheerful warmth
bag dro la byin chags pa|resplendent and suffused with warmth
bag dro le ba|suffered with wrath, splendidly, dignified, splendid
bag grib|defilement from meeting a bride
bag gro|cheerful. Syn {bag dro ba}; warmth
'bag|image, replica, {'dra 'bag, sku 'bag}. mask, guise, disguise
bag khums|depressed
bag 'khums pa|timidity, shying away
ba glang|ox, bull. Syn {ba lang}
ba glang rdzi|a cowboy/ cattle herdsman
ba glang rdzi mo|a maiden who herded cattle
ba glang spyod|Cow Utilizing Continent
ba glang spyod|Enjoy of Cattle, Using Oxen, Bountiful Cow; the western continent
ba glang spyod|the continent of the Bountiful Cow
bag la nyal ba|(to be) latent; instinct, latencies. Dormant, potential
bag la nyal bdun|the seven latent tendencies
bag la nyal|habitual propensities, latency, latent tendency, latent bias
bag la nyal|Predispositions, anushaya. Unwholesome tendencies, much the same as defilements
bag la zha|dormancy, [Syn. {bag la nyal}
bag leb|baked sesame seed cake, bread, flat bread
bag leb|bread
bag ma|bride, wife
bag mar btang|to give away as bride; to give away the bride
bag mar len pa|take in marriage
bag mar len pa|to marry, take as bride
'bag|mask
bag med|careless, negligence, not conscientious, being carefree and inattentive, not caring whether virtuous or non-virtuous karma is being produced, doing whatever comes to mind, negligence, heedlessly, without concern, carelessness, heedless, indecent, careless, reckless, unconscientiously. 2) Pramadin, [the 47th year, Female Water Ox]
bag med du|unrestrained/ careless
bag med|heedlessly {'bangs gzhan zhig dang bag med spyad cing} - heedlessly left the task to another servant
bag med kyi spyod pa la gzengs bstod|praising, approving careless behavior
bag med kyis|with abandon, lack of inhibition
bag med pa|carelessness; unconcern, Heedlessness, as one of the twenty sub-disturbances, careless, heedless, reckless, no conscientiousness, one of the {sems las byung lnga bcu nga gcig} 51 events in the {nye nyon nye shu}; Def. by Jamgön Kongtrül: {sems mi srung zhing bag yangs su gtong ba}
bag med pa|heedlessness
bag med par|without restraint
bag mi pheb|anxiety, fearful
bag nyal bdun|the seven types of latency:
bag nyal|latency
ba gor|family name of Vairotsana; also spelled {spa gor} and {pa gor}
'bag pa|ft. of {'bag pa}; pollution, to defile, to pollute one's self; {'bag pa, 'bags pa, 'bag pa} intr. v
bag pa|to be afraid, purity
bag phab|, phebs - to completely relax, relaxing, becoming lax, to abandon oneself, relaxed, lax, conducive, rest, to abandon oneself, abandoning; phebs - relaxed, lax, conducive, rest; to abandon oneself
bag pheb sa pa|relaxed, conducive
bag phebs pa|CM: blo sems lhod po'am skyid por gyur pa. E.g.'s., blo bde bag phebs. mi dmangs rnams bag phebs kyis thon skyed ngal rtsol byed du 'jg pa. bag phebs pa'i gtam rnam pa sna tshods glengs ba. [mss]
bag phebs par byed pa|to be open with, speak freely with {de dang bag phebs par byas nas gtam smra bar mi bya} - avoid being too open or having familiar conversations with such people.
bag phebs smra ba|to speak freely with
bag phye|wheat-flour, lute, putty
bag re dro|conveys a cheerful warmth
bags chags nus pa|potency
bag shis|fee, a present, alms
'bags|involved in
'bag sku|sculpted image, statue
